,Molecule,Lit Enthalpy (kJ/mol),Lit Enthalpy (Eh),LDA Enthalpy of Formation (Eh),LDA Enthalpy of Formation (kJ/mol),PBE Enthalpy of Formation (Eh),PBE Enthalpy of Formation (kJ/mol),B3LYP Enthalpy of Formation (Eh),B3LYP Enthalpy of Formation (kJ/mol),B97X Enthalpy of Formation (Eh),B97X Enthalpy of Formation (kJ/mol),M062X Enthalpy of Formation (Eh),M062X Enthalpy of Formation (kJ/mol),LDA Error (kJ/mol),LDA Abs Error (kJ/mol),PBE Error (kJ/mol),PBE Abs Error (kJ/mol),B3LYP Error (kJ/mol),B3LYP Abs Error (kJ/mol),B97X Error (kJ/mol),B97X Abs Error (kJ/mol),M062X Error (kJ/mol),M062X Abs Error (kJ/mol)
0,Methane,-74.8936,-0.02852546182,-0.0972294742603665,-255.27598467059227,-0.0289048394373665,-75.88965594280575,-0.0262818186213706,-69.00291479040851,-0.0254932225803656,-66.93245588474988,-0.0223937199523689,-58.79471173494454,-180.38238467059227,180.38238467059227,-0.9960559428057394,0.9960559428057394,5.890685209591496,5.890685209591496,7.9611441152501214,7.9611441152501214,16.098888265055464,16.098888265055464
1,Ethane,-84.01472,-0.03199951247,-0.1697327575517988,-445.63335495224777,-0.0454032124837908,-119.20613437619274,-0.0302462222818036,-79.41145660087535,-0.0336611866557916,-88.37744556478084,-0.0290028974957863,-76.14710737518693,-361.61863495224776,361.61863495224776,-35.19141437619274,35.19141437619274,4.603263399124643,4.603263399124643,-4.362725564780845,4.362725564780845,7.867612624813063,7.867612624813063
2,Propane,-104.6,-0.03984003047,-0.2466795008432143,-647.6570294638591,-0.0647768555301979,-170.07163419453457,-0.0367258359422066,-96.42368226626344,-0.0451163607312139,-118.4530050998021,-0.0394030150392126,-103.45261598545268,-543.0570294638591,543.0570294638591,-65.47163419453457,65.47163419453457,8.176317733736553,8.176317733736553,-13.853005099802104,13.853005099802104,1.1473840145473133,1.1473840145473133
3,Butane,-125.52,-0.04780803656,-0.3236527341346402,-849.7502534704978,-0.0840476885766179,-220.6672063579103,-0.043086359602654,-113.12323713676808,-0.0565872848066248,-148.56991625979342,-0.0498172925826452,-130.79530167573498,-724.2302534704978,724.2302534704978,-95.14720635791029,95.14720635791029,12.396762863231913,12.396762863231913,-23.04991625979342,23.04991625979342,-5.27530167573498,5.27530167573498
4,Pentane,-146.90024,-0.05595133879,-0.4005663974260471,-1051.6870764420867,-0.1032970116230558,-271.206304016333,-0.0494033332630863,-129.7084514822331,-0.0681440488820612,-178.9122003398517,-0.0601405401260422,-157.8989881009238,-904.7868364420867,904.7868364420867,-124.30606401633298,124.30606401633298,17.191788517766895,17.191788517766895,-32.0119603398517,32.0119603398517,-10.998748100923791,10.998748100923791
5,Hexane,-167.10896,-0.06364843268,-0.4774290207174942,-1253.489893893781,-0.1224859146694257,-321.5867689645772,-0.0556884169234592,-146.20993863254213,-0.0796233529574692,-209.05111318983538,-0.0704288776694568,-184.91101832115882,-1086.380933893781,1086.380933893781,-154.47780896457718,154.47780896457718,20.899021367457863,20.899021367457863,-41.94215318983538,41.94215318983538,-17.802058321158825,17.802058321158825
6,Heptane,-187.69424,-0.07148895068,-0.554337734008925,-1455.4137206404328,-0.1417170177158482,-372.0780300129594,-0.0619840705838896,-162.73917731800213,-0.0911683470328625,-239.3624951347805,-0.0808011552128391,-212.14343301130904,-1267.7194806404327,1267.7194806404327,-184.3837900129594,184.3837900129594,24.955062681997873,24.955062681997873,-51.66825513478048,51.66825513478048,-24.449193011309035,24.449193011309035
7,Octane,-208.61424,-0.07945695677,-0.6312028473003011,-1657.2230755869405,-0.1609113907622372,-422.4728564462538,-0.0682677342443298,-179.2369362584879,-0.1026645011082791,-269.54564765978677,-0.0910950127562841,-239.16995599162388,-1448.6088355869406,1448.6088355869406,-213.8586164462538,213.8586164462538,29.377303741512094,29.377303741512094,-60.93140765978677,60.93140765978677,-30.555715991623885,30.555715991623885
8,Nonane,-228.19536,-0.08691501047,-0.7080938505916947,-1859.1004047284946,-0.1801251238087502,-472.91851255987365,-0.074555167904748,-195.74459333391587,-0.1141944851837024,-299.8176208498106,-0.1014509702997656,-266.3595225220346,-1630.9050447284947,1630.9050447284947,-244.72315255987365,244.72315255987365,32.45076666608412,32.45076666608412,-71.62226084981063,71.62226084981063,-38.16416252203459,38.16416252203459
9,Aspirin,31.01,0.0118110836,-1.0186444959839491,-2674.4511242058584,-0.4673854124370109,-1227.1204003533721,-0.2557964951330405,-671.5936979717978,-0.2950329838639618,-774.6090991348317,-0.3073640082999418,-806.9842037914973,-2705.4611242058586,2705.4611242058586,-1258.1304003533721,1258.1304003533721,-702.6036979717978,702.6036979717978,-805.6190991348317,805.6190991348317,-837.9942037914973,837.9942037914973
