Molecule Name,LDA Enthalpy,PBE Enthalpy,B3LYP Enthalpy,wB97x-D3 Enthalpy,M06-2X Enthalpy,Hydrogen Count,Hydrogen Enthalpy Correction,Final Hydrogen LDA Enthalpy,Final Hydrogen PBE Enthalpy,Final Hydrogen B3LYP Enthalpy,Final Hydrogen B97X Enthalpy,Final Hydrogen M062X Enthalpy,Carbon Count,Carbon Enthalpy Correction,Final Carbon LDA Enthalpy,Final Carbon PBE Enthalpy,Final Carbon B3LYP Enthalpy,Final Carbon B97X Enthalpy,Final Carbon M062X Enthalpy,Nitrogen Count,Nitrogen Enthalpy Correction,Final Nitrogen LDA Enthalpy,Final Nitrogen PBE Enthalpy,Final Nitrogen B3LYP Enthalpy,Final Nitrogen B97X Enthalpy,Final Nitrogen M062X Enthalpy,Oxygen Count,Oxygen Enthalpy Correction,Final Oxygen LDA Enthalpy,Final Oxygen PBE Enthalpy,Final Oxygen B3LYP Enthalpy,Final Oxygen B97X Enthalpy,Final Oxygen M062X Enthalpy,Fluorine Count,Fluorine Enthalpy Correction,Final Fluorine LDA Enthalpy,Final Fluorine PBE Enthalpy,Final Fluorine B3LYP Enthalpy,Final Fluorine B97X Enthalpy,Final Fluorine M062X Enthalpy,Chlorine Count,Chlorine Enthalpy Correction,Final Chlorine LDA Enthalpy,Final Chlorine PBE Enthalpy,Final Chlorine B3LYP Enthalpy,Final Chlorine B97X Enthalpy,Final Chlorine M062X Enthalpy,LDA Enthalpy of Formation,PBE Enthalpy of Formation,B3LYP Enthalpy of Formation,B97X Enthalpy of Formation,M062X Enthalpy of Formation
Methane,-40.02204432,-40.36796662,-40.40372978,-40.42489884,-40.40157592,4,0.33212569036,-2.2325589180621015,-2.3172056872181015,-2.3141239900781017,-2.3280104029901016,-2.3123321751821018,1,0.2729651495,-37.69225592767753,-38.02185609334453,-38.06332397130053,-38.07139521442953,-38.06685002486553,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09722947426036654,-0.028904839437366547,-0.02628181862137069,-0.025493222580365682,-0.02239371995236894
Ethane,-78.90308299,-79.56492393,-79.62808015,-79.66846722,-79.63120121,6,0.49818853554,-3.348838377093152,-3.4758085308271522,-3.4711859851171525,-3.4920156044851525,-3.468498262773153,2,0.545930299,-75.38451185535506,-76.04371218668906,-76.12664794260105,-76.14279042885906,-76.13370004973106,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16973275755179884,-0.04540321248379087,-0.030246222281803625,-0.03366118665579165,-0.02900289749578633
Propane,-117.78856512,-118.76475651,-118.85494573,-118.91532281,-118.86461744,8,0.66425138072,-4.465117836124203,-4.634411374436203,-4.628247980156203,-4.656020805980203,-4.6246643503642035,3,0.8188954485,-113.07676778303258,-114.0655682800336,-114.18997191390159,-114.21418564328859,-114.20055007459659,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24667950084321433,-0.06477685553019796,-0.036725835942206686,-0.045116360731213945,-0.03940301503921262
Butane,-156.67407374,-157.96448628,-158.08169222,-158.16219415,-158.09804783,10,0.8303142259,-5.581397295155254,-5.793014218045254,-5.785309975195254,-5.820026007475255,-5.780830437955254,4,1.091860598,-150.76902371071012,-152.08742437337813,-152.2532958852021,-152.28558085771812,-152.26740009946212,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.32365273413464024,-0.08404768857661793,-0.043086359602654056,-0.05658728480662489,-0.04981729258264522
Pentane,-195.55952279,-197.16419454,-197.30839516,-197.40915133,-197.33138719,12,0.99637707108,-6.697676754186304,-6.9516170616543045,-6.942371970234305,-6.984031208970305,-6.936996525546306,5,1.3648257475,-188.46127963838765,-190.10928046672265,-190.31661985650263,-190.35697607214763,-190.33425012432764,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.40056639742604716,-0.10329701162305582,-0.049403333263086324,-0.06814404888206127,-0.0601405401260422
Hexane,-234.4449208,-236.36384238,-236.53506621,-236.65603105,-236.56469164,14,1.16243991626,-7.813956213217355,-8.110219905263355,-8.099433965273356,-8.148036410465355,-8.093162613137356,6,1.637790897,-226.15353556606516,-228.1311365600672,-228.37994382780317,-228.42837128657717,-228.40110014919318,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.47742902071749427,-0.12248591466942571,-0.05568841692345927,-0.07962335295746925,-0.07042887766945682
Heptane,-273.3303649,-275.56353242,-275.76174783,-275.90297646,-275.79808003,16,1.32850276144,-8.930235672248406,-9.268822748872406,-9.256495960312407,-9.312041611960407,-9.249328700728407,7,1.9107560465,-263.8457914937427,-266.15299265341173,-266.4432677991037,-266.4997665010067,-266.4679501740587,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.554337734008925,-0.14171701771584821,-0.06198407058388966,-0.09116834703286258,-0.08080115521283915
Octane,-312.2157654,-314.76318573,-314.98841746,-315.14987303,-315.03139,18,1.49456560662,-10.046515131279456,-10.427425592481457,-10.413557955351457,-10.476046813455458,-10.405494788319459,8,2.183721196,-301.53804742142023,-304.17484874675625,-304.5065917704042,-304.57116171543623,-304.53480019892424,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6312028473003011,-0.16091139076223726,-0.06826773424432986,-0.10266450110827918,-0.09109501275628418
Nonane,-351.10119179,-353.9628584,-354.21509086,-354.39680343,-354.26476207,20,1.6606284518,-11.162794590310508,-11.586028436090508,-11.570619950390508,-11.64005201495051,-11.561660875910508,9,2.4566863455,-339.23030334909777,-342.1967048401008,-342.56991574170473,-342.64255692986575,-342.60165022378976,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7080938505916947,-0.18012512380875023,-0.07455516790474803,-0.11419448518370245,-0.10145097029976569
Aspirin,-642.80124015,-647.32752384,-647.70948347,-647.88196306,-647.79424228,8,0.66425138072,-4.465117836124203,-4.634411374436203,-4.628247980156203,-4.656020805980203,-4.6246643503642035,9,2.4566863455,-339.23030334909777,-342.1967048401008,-342.56991574170473,-342.64255692986575,-342.60165022378976,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4,0.37961988192,-298.0871744687941,-300.0290222130261,-300.25552325300606,-300.2883523402901,-300.2605636975461,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0186444959839491,-0.4673854124370109,-0.2557964951330405,-0.2950329838639618,-0.3073640082999418
