Molecule Name,LDA Enthalpy,PBE Enthalpy,B3LYP Enthalpy,wB97x-D3 Enthalpy,M06-2X Enthalpy
Methane,-40.02204432,-40.36796662,-40.40372978,-40.42489884,-40.40157592
Ethane,-78.90308299,-79.56492393,-79.62808015,-79.66846722,-79.63120121
Propane,-117.78856512,-118.76475651,-118.85494573,-118.91532281,-118.86461744
Butane,-156.67407374,-157.96448628,-158.08169222,-158.16219415,-158.09804783
Pentane,-195.55952279,-197.16419454,-197.30839516,-197.40915133,-197.33138719
Hexane,-234.4449208,-236.36384238,-236.53506621,-236.65603105,-236.56469164
Heptane,-273.3303649,-275.56353242,-275.76174783,-275.90297646,-275.79808003
Octane,-312.2157654,-314.76318573,-314.98841746,-315.14987303,-315.03139
Nonane,-351.10119179,-353.9628584,-354.21509086,-354.39680343,-354.26476207
Aspirin,-642.80124015,-647.32752384,-647.70948347,-647.88196306,-647.79424228
Azobenzene,-567.03107194,-571.42268543,-571.77567151,-571.96262,-571.87229003
Caffeine,-674.11115668,-678.91639376,-679.30475202,-679.50764836,-679.40362349
Ethanol,-153.5333245,-154.64042071,-154.74366728,-154.79543009,-154.75422757
Pyrrole,-208.06936514,-209.67163761,-209.80188262,-209.87441159,-209.83584313
Acetaminophen,-510.62848579,-514.34167353,-514.65080306,-514.80355671,-514.72102637
Diclofenac,-1655.35094725,-1663.42098202,-1664.13082389,-1664.47788925,-1664.34451511
Ibuprofen,-650.19854683,-655.10630484,-655.5204096,-655.76683036,-655.62341208
Hydrocortisone,-1182.90908014,-1191.57182985,-1192.29111076,-1192.75934104,-1192.51279333
Dexamethasone,-1319.19019507,-1328.67025884,-1329.46812541,-1329.95373698,-1329.70388467
Prednisone,-1180.59083341,-1189.22789611,-1189.93931303,-1190.3827433,-1190.15514865
