Molecule Name,LDA Time (s),PBE Time (s),B3LYP Time (s),wB97x-D3 Time (s),M06-2X Time (s)
Methane,116.13400000000001,121.98,146.161,149.936,152.69299999999998
Ethane,34.636,39.123,67.817,72.626,70.547
Propane,45.671,58.461,116.538,130.405,135.036
Butane,48.518,70.523,169.132,197.519,213.483
Pentane,87.727,122.031,255.583,332.94,353.102
Hexane,99.416,145.79,283.862,405.75,457.54
Heptane,114.054,181.253,402.259,343.119,487.6
Octane,163.676,239.667,595.361,770.229,767.601
Nonane,182.655,281.773,737.505,949.183,823.65
Aspirin,1475.508,2274.076,7826.661,11994.909,9498.075
Azobenzene,1030.63,1716.27,5727.876,7324.949,6831.877
Caffeine,675.211,240.139,689.093,5863.861999999999,2223.909
Ethanol,57.086,50.433,87.591,102.966,130.126
Pyrrole,41.64,47.55,116.544,168.106,167.182
Acetaminophen,176.43,257.567,750.769,1002.92,934.037
Diclofenac,4294.201,6106.613,20213.917,33175.892,26177.627
Ibuprofen,3626.889,5788.292,17994.383,29898.293,19179.089
Hydrocortisone,2687.865,4008.047,12124.346,16837.956,18233.225
Dexamethasone,3391.745,4942.042,17789.027,25660.981,18917.53
Prednisone,2905.239,4661.076,14138.369,26251.207,17030.277
